4534	6411	1	1	62	334
6089	7745	0	1	39	22
7776	8877	0	3	18	3
8938	10272	1	1	26	106
10160	11523	0	1	49	92
11577	12034	0	1	70	64
12286	13053	1	1	35	25
12851	13567	0	1	156	216
13577	14280	0	1	32	0
15017	15635	1	1	3	31
16126	18419	0	1	27	80
18269	21093	1	2	346	1
21103	24135	0	3	14	31
24181	25374	0	1	3	0
25416	27174	1	1	0	52
27080	28075	0	1	16	2
28168	29350	1	1	16	0
30788	32788	1	2	51	50
32811	33595	0	2	89	38
35341	36126	1	1	0	0
36113	36356	0	1	30	10
36442	36955	1	1	37	0
37103	39048	1	2	27	41
39329	40745	1	1	112	0
40792	41552	0	1	56	63
41470	43477	1	1	25	0
45022	48916	1	2	142	35
48871	50013	0	2	29	56
49962	52743	1	1	108	127
52255	55058	0	2	28	351
55204	56398	0	1	46	0
56423	57927	0	2	21	0
57941	63291	0	7	49	0
64924	65601	0	1	60	63
65623	67986	0	2	0	35
67991	68981	0	1	1	0
68924	69375	1	1	155	0
69903	71142	0	1	3	37
71297	73227	0	2	31	10
73744	76617	1	3	31	0
76507	78946	0	1	75	107
78409	79410	0	1	214	578
79233	81918	1	3	32	0
82179	82865	0	1	0	0
82871	86493	0	2	18	0
86547	87272	1	1	0	3
88715	89885	1	1	20	167
89543	90953	0	2	23	172
90855	91713	1	1	174	37
92395	93440	0	1	101	195
93657	94310	0	1	25	107
98207	100273	0	1	187	95
100158	100531	1	1	44	0
100419	101145	0	1	63	109
101141	103351	1	2	118	114
103268	104461	0	2	53	0
104653	108405	0	3	22	0
108536	109977	1	3	20	30
109989	111631	1	1	23	24
113174	113815	1	2	22	117
114274	115286	1	1	25	13
115372	116895	1	1	19	173
116924	118710	1	1	19	283
118730	119323	0	1	31	5
119502	120013	0	1	20	6
124068	126182	0	3	24	2
126282	127112	1	1	108	54
127114	128878	1	2	37	1
128571	129548	0	1	139	251
129670	132540	0	1	45	0
133813	136072	1	2	102	20
135996	136720	0	1	69	20
138090	142165	1	2	25	59
142107	146189	0	4	206	126
146240	146761	1	1	28	41
146717	147087	0	1	47	0
147126	147999	1	1	34	144
148046	148598	0	1	107	113
148621	150239	1	1	25	49
150187	151951	0	2	33	0
152497	154953	1	1	30	36
154740	156309	0	2	2	174
156294	157210	1	2	46	26
157136	159586	0	2	26	74
159902	161654	0	2	22	94
166602	166949	0	1	24	93
167015	168144	1	1	50	396
168146	170428	1	1	30	81
170476	172298	1	3	22	93
173091	174215	1	2	20	17
174257	174890	1	1	54	178
174709	176513	0	2	42	0
176646	177121	1	1	96	26
177477	179942	0	2	150	73
181060	182555	1	2	18	0
184389	185480	0	1	19	29
185666	187426	1	1	16	8
187469	189258	0	1	0	62
189266	190397	0	1	0	7
190443	191706	1	1	29	86
191522	192536	0	2	65	188
192615	195519	0	1	3	40
195581	196286	1	1	49	228
196019	198957	0	2	24	75
198976	204110	0	5	21	17
204455	206072	0	2	26	28
206146	207214	1	1	52	0
208797	209003	1	1	16	20
209025	211841	1	1	31	14
211811	212451	0	1	1	13
212474	214384	1	2	22	0
214448	215631	1	1	23	72
215564	216189	0	1	1	79
216433	217480	1	1	76	48
217201	217833	0	1	20	223
217942	218977	0	1	13	6
219921	220207	0	1	16	103
220278	221453	0	2	56	38
221454	223398	1	2	44	0
223215	224006	0	2	45	180
224017	226885	1	5	43	664
226210	227342	0	1	33	53
227892	229317	0	1	32	47
229484	230125	0	1	71	145
230148	231150	0	1	0	10
231094	231739	1	1	68	62
231983	232810	1	1	35	253
232565	235367	0	4	25	0
235416	236978	1	1	71	124
237038	238278	0	1	3	128
238325	242250	0	2	21	54
242391	244640	1	2	30	0
244642	245832	1	1	0	0
245840	247106	1	2	11	0
247772	248648	0	2	19	137
248767	251464	1	1	92	35
251503	252804	0	1	21	0
252873	254114	1	1	0	15
254061	254979	0	1	134	35
254876	255352	1	1	18	18
255437	255860	1	1	37	54
255910	258458	0	1	23	51
258566	259201	0	1	23	13
259188	262440	1	3	38	68
262258	263250	0	2	55	127
263384	264610	1	1	373	125
264465	265943	0	2	86	17
265955	270291	1	6	20	302
269838	271482	0	1	9	163
271493	273532	0	1	0	0
273642	275758	1	2	15	0
275749	279505	0	3	83	19
280663	282592	1	4	38	0
282604	284010	0	1	48	0
284097	288139	1	2	51	0
