4534	6411	1	1	62	334	31.33972311	1.045996388	494	58.3	0.134	2.747	0.676	0.088
6089	7745	0	1	39	22	3.477368739	0.116060858	532	56.2	0.006	0.119	0.614	0.037
7776	8877	0	3	18	3	14.00362976	0.467385946	121	59.133	-0.085	-0.883	0.586	-0.073
8938	10272	1	1	26	106	10.62322097	0.35456123	401	56.7	0.18	3.291	0.701	0.132
10160	11523	0	1	49	92	16.66129032	0.556088177	184	55.9	-0.002	-0.008	0.608	0.021
11577	12034	0	1	70	64	64.50873362	2.153047177	108	55.2	0.376	3.508	0.729	0.108
12286	13053	1	1	35	25	8.19921875	0.273657593	236	52.5	-0.121	-1.702	0.545	-0.093
12851	13567	0	1	156	216	11.33193863	0.378215431	115	45.2	-0.139	-1.359	0.584	0.031
15017	15635	1	1	3	31	3.8546042	0.12865149	195	49.1	-0.286	-3.624	0.56	-0.164
16126	18419	0	1	27	80	8.64603313	0.288570495	729	58.3	0.049	1.22	0.664	0.069
18269	21093	1	2	346	1	10.99433628	0.366947595	413	58.4	0.081	1.804	0.639	0.038
21103	24135	0	3	14	31	5.052093637	0.168618966	330.667	56.333	-0.014	-0.046	0.61	0.032
27080	28075	0	1	16	2	6.324297189	0.211080104	326	58.7	0.189	3.155	0.694	0.112
30788	32788	1	2	51	50	3.431784108	0.114539422	318	56.35	-0.131	-2.43	0.585	-0.073
32811	33595	0	2	89	38	4.105732484	0.137033162	114.5	40.65	-0.432	-4.207	0.435	-0.313
36113	36356	0	1	30	10	4.62704918	0.154432658	68	48.5	-0.051	-0.377	0.592	-0.151
37103	39048	1	2	27	41	17.29650565	0.57728916	299	57.8	0.065	1.559	0.68	0.031
40792	41552	0	1	56	63	49.20762155	1.642356387	100.5	57.55	0.215	1.616	0.733	0.208
45022	48916	1	2	142	35	10.18613607	0.339973059	618.5	51.45	-0.337	-7.799	0.524	-0.224
48871	50013	0	2	29	56	211.5538058	7.060831902	145	47.2	0.073	0.818	0.556	-0.004
49962	52743	1	1	108	127	15.0992092	0.503952068	849	41.6	-0.367	-9.777	0.477	-0.186
52255	55058	0	2	28	351	5.782810271	0.193007406	403.5	38.15	-0.567	-9.482	0.417	-0.274
56423	57927	0	2	21	0	9.316943522	0.310962839	228	36.3	-0.474	-6.459	0.43	-0.242
57941	63291	0	7	49	0	5.500840964	0.183596382	232.5	49.517	-0.358	-4.579	0.475	-0.227
64924	65601	0	1	60	63	66.93067847	2.233882146	185	53.2	0.082	0.971	0.685	0.086
65623	67986	0	2	0	35	3.194162437	0.106608548	505	59.1	-0.001	-0.028	0.614	0.056
69903	71142	0	1	3	37	6.911290323	0.23067162	400	59.6	0	-0.004	0.663	0.006
71297	73227	0	2	31	10	11.35732781	0.379062821	308.5	57.8	0.178	2.905	0.707	0.109
73744	76617	1	3	31	0	10.90118302	0.363838507	346	55.25	-0.001	0.329	0.61	-0.011
76507	78946	0	1	75	107	12.64180328	0.421933548	235.667	57.833	0.094	1.353	0.675	0.095
